Name,Ratings,Header,Date,Product_Details,Review,Helpful
Suraj Chand,4,"Mi Smart Tv 32"" :- 7/10 average.",30 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,198 people found this helpful
mazharkhan07,4,Great experience with above expectations,4 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,,28 people found this helpful
Garima,4,SO FAR GOOD TV IN PRICE RANGE,2 September 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"I am writing this after using for it for more than a month. I got it around 26k which quite good deal for 50 inch. Following are the views on  this tv.Quite good picture quality for 4K HD video, specially for indian tv shows and movies, as it has saturated red color. As some of said brightness is not good in the tv and I feel that is TRUE and mainly  affects when you are watching dolby vision or hdr content on netflix or prime video. With less brightness you will not feel something extra which a 4k tv must show. Dolby vision and hdr content  are quite flat or say simple as normal HD tv on this. That might be  common for most of the tv's  in this range.Memc  or reality flow is just an marketing gimic and it's better to turn it off as it increase blurred effect. Sometimes There is hang issue on netflix only. Screen is reflective so if you have bulb or light opposite to tv it will reflect on the tv,  so you need to turn off the light which is common in most tv's.So if someone wants better dolby vision ready picture quality then go for some good qled tv.I am not fan of Google voice recognition as it's not always accurate. So nothing new on tv.Patchwall is not useful for me but live tv option is good and useful.Sound quality is good enough for a room,may be not for big hall. I  cant expect much more with sound quality when there is no in built soundbar. Different sound settings on the tv makes really difference  so you can change settings.No dolby atmos support atleast without soundbar, which was false specifications  mentioned on the product details.Turn on off time is OK and manageble.Build quality is not that important as it always hangs on wall and practically bazeless  design and with less bazele is same thing as without bazel screen has black outline and in slim bazel design those black area covered in plastic bazelss so just a matter of perception.So far I can't comment on customer support as didn't required, but Amazon service was good enough for installation. 500 rs was charged for wall mount which I was aware already so no issues. Better MI should provide  it in the box.I feel MI should provide hot key for you tube on remote as it most watch app, because of kids.Hoping this tv works for long time as my old tv.",63 people found this helpful
Baru g.,4,Ok good..,10 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"ముఖ్యంగా పిక్చర్ కలర్ అనుకున్నంత లేదు. పోనీ సెట్టింగ్ మారుస్తాము అనుకుంటే.. చూస్తున్న సినిమా గానీ వీడియో గాని ఆపి మళ్లీ సెట్టింగ్ లోకి వెళ్లి బ్రైట్నెస్, కాంట్రాస్ట్, కలరింగ్ మార్చుకోవాలి.. ఒక వీడియో గాని ఒక సినిమా గాని చూస్తుండగా బ్రైట్నెస్ గాని కాంట్రాస్ట్ గాని కలరింగ్ గాని మార్చే ఆప్షన్ Redmi టీవీ ఇవ్వలేదు ఇది పెద్ద లోటు తలనొప్పి వ్యవహారం.. మరొక విషయం సిస్టం చాలా స్లోగా ఉంది.. ఇంకొక విషయం Dish టివి లో గాని కేబుల్ టీవీలో గాని HD వీడియోలు మాత్రమే బాగా వస్తున్నాయి..SD వీడియోలు  అనుకున్నంత క్లారిటీగా లేవు.. TV కొనేవాళ్లు ఈ విషయం గమనించగలరు. But Good sound Quality.. Dolby bass, Dolby voice clarity, And Surround Sound Good.. ఇంకో ముఖ్యమైన విషయం.. మన సెల్ ఫోన్ తో నెట్ hotspot ద్వారా ఇన్ బిల్ట్  Wi-Fi...TV కి Connect చేస్తే సిగ్నల్ ఉండాలేగానీ HD లో వీడియోస్ ప్లే అవుతాయి.. No bufuring.. Ex- YOUTUBE, HOTSTAR.. Any OTT...",10 people found this helpful
shashikanth,4,Review after using for 2 months,23 September 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Display is simply extraordinary at this price range.But Sound quality is not up to the mark.In the initial days, sound was always also good to hear, but from last 20days, I found that sound quality has completely decreased.We used to keep volume at 9 or 10 in the initial days, but now the same sound is being heard even at the volume of 26 -30.Especially I'm facing this problem from all OTT platforms & Mira Cast.(Ytube is fine👍)Pros :- Price, Display, Wifi connectivity, Blutooth connectivity, Picture, Colours, Patchwall.Cons :- Sound, material quality, Basic blutooth remote, Google assistant voice recognition is also not satisfied.Overall.... Best Budget TV, except the major problem of sound quality during OTT apps & MiraCast.Alternative option :- Can go with OnePlus for better branding experience.",26 people found this helpful
Sudhanshu Ratnaparkhee,4,"Value for money, but have to check durability in long run",11 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Bought it with extended warranty and was delivered and installed withing days, this might vary depending where you live. Initial impressions are good. Picture quality and sound are okày. I will wait before i speak about the durability. Will update this review after using for some months at least.",
Ankit Gupta,4,Sound quality,8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Sabse phli bat..Iska sound bhut acha hai..One plus y series se mi ki ye wali tv sahi hai..Agr 19k se 19500 ke bich mile to...Processing time sahi hai,Picture quality compare to oneplus tik hai..Agr one plus or mi me doubt ho to mi select kre..",
samadhan,4,Good for the money value,10 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,TV is quite good at this price point let see the durability.ProsValue for the moneyEnough Volume for 200sqftCons.Lag sometimesBrightness 🔆 is getting suddenly High & low for some channels special for closeup seen.,
Md s.,4,TV is good according to the budget,11 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"TV is right according to the budget. There is a problem with this TV, its setting is not correct, I rake from my Xiaomi brand and sell it by correcting its setting",One person found this helpful
Debosree Manna,4,Picture quality is good.,12 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Picture quality is good ( not great ) but it is expected at this price range.Overall experience is good till date. Let's see what holds in the future.,
